Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature,Recovered Materials,Efficiencies,Type of %,Recovered Element 1,Efficiency 1 (%),Recovered Element 2,Efficiency 2 (%),Recovered Element 3,Efficiency 3 (%),Recovered Element 4,Efficiency 4 (%),Recovered Element 5,Efficiency 5 (%),Total Cost Approx. ($),Total Energy Approx. (J)
2,10.1016/j.ceja.2023.100582,Recovery of NixMnyCoz(OH)2 and Li2CO3 from spent Li-ionB cathode leachates using non-Na precipitant-based chemical precipitation for sustainable recycling,"The interest in recycling spent lithium-ion batteries (Li-ionB) has surged due to the rising demand for valuable metals (e.g., Co, Ni, Li and Mn) and concerns about environmental repercussions emanating from conventional battery waste disposal. Conventional precipitation-based hydrometallurgy recycling processes utilise Na-based or metal-based precipitants. The Na, from Na-based precipitants, is present in high concentrations in the process effluent since they are not recovered during the recycling process. The Na-rich effluent cannot be discarded since it doesn't meet environmental regulations as per the U.S. Environmental Protection Agency (EPA) (2023) therefore creating a storage and disposal problem. It is therefore imperative to utilise non-Na-based precipitants to eliminate the effluent disposal problem. This paper focuses on the recovery of NixCoyMnz(OH)2 and Li2CO3, main precursors for Li-ionB cathode production, from a typical spent Li-ionB cathode (NMC 532) using non-Na precipitant-based chemical precipitation. This study reports NixCoyMnz(OH)2 and Li2CO3 recovery from spent Li-ionBs for closed-loop Li-ionB cathode recycling through an integrated hydrometallurgy and chemical precipitation process. Through the utilisation of leachate solutions comprising 2 M H2SO4 + 6 vol.% H2O2, and a 75 g/L S/L ratio and conducting leaching for 120 min at a temperature of 60 Â°C and IS of 350 rpm, the recovery efficiency of 98.1 % for Li, 97.1 % for Co, 96.1 % for Ni, and 95.7 % for Mn. The pH of the NMC leachate was initially adjusted to 5 to precipitate Fe, Al and Cu impurities. Thereafter, active metal species (Ni, Mn and Co) were precipitated at a pH of 13 as Ni0.5Co0.2Mn0.3(OH)2 composite microparticles by adding LiOH precipitant. Thereafter, the Li-rich resultant liquor was further used to recover the Li by adding 3.4 mol of CO2 bubbled at 0.068 mol (CO2)/L.min and 40 Â°C for 45 min. The Li2CO3 precipitates were separated from the suspension through filtration followed by washing using deionised water and hot air drying. The reaction time is 45 mins, and the agitation speed is 150 rpm. Through this multi-stage precipitation process, >98 % of Ni, Co, Mn and > 91 % of Li can be recovered in the form of Ni0.5Mn0.3Co0.2(OH)2 and Li2CO3 respectively. The process exhibits great potential for recovery of valuable materials from spent Li-ionBs. The recovered Ni0.5Co0.2Mn0.3(OH)2 and Li2CO3 materials will be used as precursors in the anhydrous NMC cathode production process.",Lithium-ion batteries (LIBs),Precipitation-based hydrometallurgy,"60 °C, reaction time: 120 min, 350 rpm IS","NixCoyMnz(OH)2, Li2CO3",60,Lithium (Li)|Cobalt (Co)|Nickel (Ni)|Manganese (Mn),98.1|97.1|96.1|95.7,recovery efficiency,Li,98.10%,Co,97.10%,Ni,96.10%,Mn,95.70%,,,77.52267,41975.44667
17,10.1016/j.hydromet.2021.105809,Ammonia leaching of valuable metals from spent lithium ion batteries in NH3-(NH4)2SO4-Na2SO3 system,"The development of green energy technology has necessitated research on methods to recover and reuse spent Li-ion batteries. To increase the recovery efficiency of precious metals from spent Li batteries, the effects of different leaching parameters, such as the temperature, leaching time, leach liquor concentrations, and solid-liquid ratio, on the leaching efficiency of the NH3 + (NH4)2SO4 + Na2SO3 system were systematically investigated in this study. The most suitable leaching conditions were determined as follows: (NH4)2SO4 concentration = 1.5 mol/L, Na2SO3 concentration = 0.5 mol/L, NH3 concentration = 4 mol/L, solid-liquid ratio = 10:1, leaching time = 180 min, and temperature = 90 Â°C. Under the most suitable conditions, the leaching efficiencies of Li, Co, and Ni were 96.2%, 89.9%, and 90.1%, respectively, and up to 90.8% Mn remained as a leach residue with good crystallinity. The leach residue was characterised using X-ray diffraction, scanning electron microscopy, electron probe microanalysis, and other detection techniques. The kinetic modelling showed that the leaching process of Li, Co, and Ni was controlled by the surface chemical reaction with apparent activation energies of 62.0, 81.5 and 76.3 kJ/mol, for Li, Co and Ni, respectively. Moreover, Mn precipitated as (NH4)2Mn(SO3)2Â·H2O in the residue where higher leaching temperatures produced residues of better crystallinity. The optimum temperature to obtain a well-crystallised residue was 90 Â°C.",Lithium-ion batteries (LIBs),controlled pyrolysis,"temperature of 450 °C, holding time of 60 min, and heating rate of 10 °C/min",Al foil,450,Lithium (Li)|Cobalt (Co)|Nickel (Ni)|Manganese (Mn),96.2|89.9|90.1|90.8,leaching efficiency,Li,96.20%,Co,89.90%,Ni,90.10%,Mn,90.80%,,,211.97067,435564.9167
26,10.1016/j.jenvman.2024.121862,A greener method to recover critical metals from spent lithium-ion batteries (LIBs): Synergistic leaching without reducing agents,"Efficient recycling of critical metals from spent lithium-ion batteries is vital for clean energy and sustainable industry growth. Conventional methods often fail to manage large waste volumes, leading to hazardous gas emissions and dangerous materials. This study investigates innovative methods for recovering critical metals from spent LIBs using synergistic leaching. The first step optimized thermal treatment conditions (570 Â°C for 2 h in air) to remove binder materials while maintaining cathode material crystallinity, confirmed by X-ray diffraction (XRD) analysis. Next, response surface methodology (RSM), I-optimal, was used to examine the synergistic effects of sulfuric acid (SA) and organic acids (Org, citric and acetic acids) and their concentrations (SA: 0.5â€“2 M and Org: 0.1â€“2 M) on metal leaching for an eco-friendlier process. Results showed that adding citric acid to SA was more effective, especially at lower concentrations, than using acetic acid. The medium was tested to evaluate the impact of reductant addition. Remarkably, it was discovered that the optimized leaching mixture (1.25 M SA and 0.55 M citric acid) efficiently extracted metals without the need for any reductant like H2O2, highlighting its potential for a simpler and more eco-friendly recycling process. Further optimization identified the ideal solid-to-liquid ratio (62.5 g/L) to minimize acid use. Finally, RSM (D-optimal) was used to investigate the effects of time and temperature on leaching, achieving remarkable recovery rates of 99% Â± 0.7 for Li, 98% Â± 0.0 for Co, 90% Â± 6.6 for Ni, and 92% Â± 0.4 for Mn under optimized conditions at 189 min and 95 Â°C. Chemical cost analysis revealed this method is about 25% more cost-effective than conventional methods.",Lithium-ion batteries (LIBs),"thermal treatment, leaching","570 Â°C for 2 h in air, 189 min and 95 Â°C","lithium, cobalt, nickel, manganese",570,Lithium (Li)|Cobalt (Co)|Nickel (Ni)|Manganese (Mn),99|98|90|92,recovery rate,Li,99%,Co,98%,Ni,90%,Mn,92%,,,84.54333,574664.75
135,10.1016/j.seppur.2023.124143,Complete and selective recovery of lithium from EV lithium-ion batteries: Modeling and optimization using oxalic acid as a leaching agent,"The necessity of a feasible process for the recycling of lithium-ion batteries is nowadays evident due to the significant demand for raw materials for battery production, but also due to legislative requirements to achieve certain recycling efficiency with sufficient quality of the products. Special conditions to achieve high lithium recovery and its use in new batteries represent a challenge for a commercial hydrometallurgical approach. In this work, an early selective recovery of lithium using oxalic acid as a leaching agent is investigated. The different solubility of transition metals oxalates in comparison to lithium oxalate was the main driving force to achieve selective separation in the leaching step. Nickel, cobalt, and manganese oxalates are insoluble and remained in the solid residue, while lithium oxalate was dissolved in the solution. Using a design of experiments to optimize the operation, optimal parameters were identified as 60 Â°C, 60 min, 0.6 M oxalic acid, resulting in 98.8% leaching yield for lithium, while less than 0.5 % of cobalt and nickel, and 1.5% of manganese were leached. This can significantly improve the lithium recovery in the current recycling processes. Moreover, aluminum was completely dissolved, which is a phenomenon not reported previously. It would constitute an advantage to the subsequent recycling operations.",Lithium-ion batteries (LIBs),oxalic acid leaching,"60 Â°C, 60 min, 0.6 M oxalic acid",lithium,60,Lithium (Li)|Cobalt (Co)|Nickel (Ni)|Manganese (Mn),98.8|0.5|0.5|1.5,leaching yield,Li,98.80%,Co,0.50%,Ni,0.50%,Mn,1.50%,,,1595.46167,27987.49333
96,10.1016/j.wasman.2023.02.034,Recover value metals from spent lithium-ion batteries via a combination of in-situ reduction pretreatment and facile acid leaching,"The pretreatment of cathode material before leaching is crucial in the spent lithium-ion battery hydro-metallurgical recycling. Here research demonstrates that in-situ reduction pretreatment could dramatically improve the leaching efficiencies for valuable metals from cathodes. Specifically, calcination under 600 Â°C without oxygen using alkali treated cathode can induce in-situ reduction and collapse of oxygen framework, which is ascribed to the carbon inherently contained in the sample and promote the following efficient leaching without external reductants. The leaching efficiencies of Li, Mn, Co and Ni can remarkably reach 100%, 98.13%, 97.27% and 97.37% respectively. Characterization methods, such as XRD, XPS and SEM-EDS, were employed and revealed that during in-situ reduction, high valence metals such as Ni3+, Co3+, Mn4+ can be effectively reduced to lower valence states, conducive to subsequent leaching reactions. Moreover, leaching processes of Ni, Co and Mn fit well with the film diffusion control model, and the reaction barrier is in accordance with the order of Ni, Co and Mn. In comparison, it is observed that Li was leached with higher efficiency regardless of the various pretreatments. Lastly, an integral recovery process has been proposed and economic assessment demonstrates that in-situ reduction pretreatment increases the benefit with a negligible cost increase.",Lithium-ion batteries (LIBs),hydro-metallurgical process,"temperature of 600 Â°C, without oxygen","lithium, nickel, cobalt, manganese",600,Lithium (Li)|Manganese (Mn)|Cobalt (Co)|Nickel (Ni),100|98.13|97.27|97.37,leaching efficiency,Li,100%,Mn,98.13%,Co,97.27%,Ni,97.37%,,,42.6009,618793.9573
151,10.1016/j.hydromet.2009.08.005,A novel recovery process of metal values from the cathode active materials of the lithium-ion secondary batteries,"A novel process was conducted with experiments which separated and recovered metal values such as Co, Mn, Ni and Li from the cathode active materials of the lithium-ion secondary batteries. A leaching efficiency of more than 99% of Co, Mn, Ni and Li could be achieved with a 4 M hydrochloric acid solution, 80 Â°C leaching temperature, 1 hour leaching time and 0.02 gmlâˆ’1 solid-to-liquid ratio. For the recovery process of the mixture, firstly the Mn in the leaching liquor was selectively reacted and nearly completed with a KMnO4 reagent, the Mn was recovered as MnO2 and manganese hydroxide. Secondly, the Ni in the leaching liquor was selectively extracted and nearly completed with dimethylglyoxime. Thirdly, the aqueous solution in addition to the 1 M sodium hydroxide solution to reach pH=11 allowed the selective precipitation of the cobalt hydroxide. The remaining Li in the aqueous solution was readily recovered as Li2CO3 precipitated by the addition of a saturated Na2CO3 solution. The purity of the recovery powder of lithium, manganese, cobalt and nickel was 96.97, 98.23, 96.94 and 97.43 wt.%, respectively.",Lithium-ion batteries (LIBs),"leaching, selective precipitation","4 M hydrochloric acid solution, 80 Â°C leaching temperature, 1 hour leaching time, 0.02 gmlâˆ’1 solid-to-liquid ratio","lithium, manganese, cobalt, nickel",80,Cobalt (Co)|Manganese (Mn)|Lithium (Li)|Nickel (Ni),99|99|99|99,leaching efficiency,Co,99%,Mn,99%,Li,99%,Ni,99%,,,29.78667,63924.3
159,10.1016/j.wasman.2017.10.028,Process for recycling mixed-cathode materials from spent lithium-ion batteries and kinetics of leaching,"A â€œgrave-to-cradleâ€ process for the recycling of spent mixed-cathode materials (LiCoO2, LiCo1/3Ni1/3Mn1/3O2, and LiMn2O4) has been proposed. The process comprises an acid leaching followed by the resynthesis of a cathode material from the resulting leachate. Spent cathode materials were leached in citric acid (C6H8O7) and hydrogen peroxide (H2O2). Optimal leaching conditions were obtained at a leaching temperature of 90 Â°C, a H2O2 concentration of 1.5â€¯vol%, a leaching time of 60 min, a pulp density of 20â€¯gâ€¯Lâˆ’1, and a citric acid concentration of 0.5â€¯M. The leaching efficiencies of Li, Co, Ni, and Mn exceeded 95%. The leachate was used to resynthesize new LiCo1/3Ni1/3Mn1/3O2 material by using a solâ€“gel method. A comparison of the electrochemical properties of the resynthesized material (NCM-spent) with that synthesized directly from original chemicals (NCM-syn) indicated that the initial discharge capacity of NCM-spent at 0.2â€¯C was 152.8â€¯mAâ€¯hâ€¯gâˆ’1, which was higher than the 149.8â€¯mAâ€¯hâ€¯gâˆ’1 of NCM-syn. After 160 cycles, the discharge capacities of the NCM-spent and NCM-syn were 140.7â€¯mAâ€¯hâ€¯gâˆ’1 and 121.2â€¯mAâ€¯hâ€¯gâˆ’1, respectively. After discharge at 1â€¯C for 300 cycles, the NCM-spent material remained a higher capacity of 113.2â€¯mAâ€¯hâ€¯gâˆ’1 than the NCM-syn (78.4 mAâ€¯hâ€¯gâˆ’1). The better performance of the NCM-spent resulted from trace Al doping. A new formulation based on the shrinking-core model was proposed to explain the kinetics of the leaching process. The activation energies of the Li, Co, Ni, and Mn leaching were calculated to be 66.86, 86.57, 49.46, and 45.23â€¯kJâ€¯molâˆ’1, respectively, which indicates that the leaching was a chemical reaction-controlled process.",Lithium-ion batteries (LIBs),"pyrolysis, leaching, solvent extraction, solvent precipitation, hydrometallurgical process","500 Â°C, 200 Â°C, 100 Â°C, 300 Â°C, 400 Â°C, 450 Â°C, 500 Â°C, 200 Â°C, 100 Â°C, 300 Â°C, 400 Â°C, 450 Â°C, 500 Â°C","Li, Co, Ni, Mn, Al",500,Cobalt (Co)|Manganese (Mn)|Lithium (Li)|Nickel (Ni),95|95|95|95,leaching efficiency,Co,95%,Mn,95%,Li,95%,Ni,95%,,,148.93333,490732
187,10.1016/j.wasman.2021.02.039,Hydrometallurgical recycling of EV lithium-ion batteries: Effects of incineration on the leaching efficiency of metals using sulfuric acid,"The growing demand for lithium-ion batteries will result in an increasing flow of spent batteries, which must be recycled to prevent environmental and health problems, while helping to mitigate the raw materials dependence and risks of shortage and promoting a circular economy. Combining pyrometallurgical and hydrometallurgical recycling approaches has been the focus of recent studies, since it can bring many advantages. In this work, the effects of incineration on the leaching efficiency of metals from EV LIBs were evaluated. The thermal process was applied as a pre-treatment for the electrode material, aiming for carbothermic reduction of the valuable metals by the graphite contained in the waste. Leaching efficiencies above 70% were obtained for Li, Mn, Ni and Co after 60 min of leaching even when using 0.5 M sulfuric acid, which can be linked to the formation of more easily leachable compounds during the incineration process. When the incineration temperature was increased (600â€“700 Â°C), the intensity of graphite signals decreased and other oxides were identified, possibly due to the increase in oxidative conditions. Higher leaching efficiencies of Mn, Ni, Co, and Li were reached at lower temperatures of incineration (400â€“500 Â°C) and at higher leaching times, which could be related to the partial carbothermic reduction of the metals.",Lithium-ion batteries (LIBs),pyrometallurgical and hydrometallurgical approaches,"leaching efficiencies above 70%, 0.5 M sulfuric acid, 600â€“700 Â°C, 400â€“500 Â°C",,700,Cobalt (Co)|Manganese (Mn)|Lithium (Li)|Nickel (Ni),70|70|70|70,leaching efficiency,Co,70%,Mn,70%,Li,70%,Ni,70%,,,893.6,512255.3333
153,10.1016/j.hydromet.2019.105162,Recovery of valuable metals from spent ternary Li-ion batteries: Dissolution with amidosulfonic acid and d-glucose,"For recovery of Li, Co, Ni and Mn from the spent lithium-ion batteries, a novel leaching process involving amidosulfonic acid as leaching agent and d-glucose as reducing agent was developed. The effects of parameters including temperature, amidosulfonic acid concentration, solid-to-liquid ratio (S/L ratio), mass ratio of d-glucose to cathode materials (d-glucose dosage) and leaching time on the leaching efficiencies of Co, Li, Mn and Ni were investigated. The leaching efficiencies reached 96.7% for Co, 98.4% for Li, 97.6% for Mn, and 98.3% for Ni under the most suitable conditions (90â€¯Â°C, amidosulfonic acid of 1.5â€¯molâ€¯Lâˆ’ 1, S/L ratio of 50â€¯gâ€¯Lâˆ’ 1, d-glucose dosage of 0.75, and 90â€¯min). During the leaching process, with the dissolution of metals, the spherical particles of cathode materials firstly decomposed into small primary granules. Then valuable metals were further dissolved into leachate from these primary granules under the synergistic effect of H+ and d-glucose. Co-precipitation with oxalic acid recovered 99.9% of Co, 99.7% of Ni and 96.3% of Mn. The collected Co-Ni-Mn oxalate precipitates show homogeneous morphology and can be converted into well-shaped Co-Ni-Mn oxide by thermal treatment. Thus, the proposed process is found to be simple and efficient.",Lithium-ion batteries (LIBs),novel leaching process,"90â€¯Â°C, amidosulfonic acid of 1.5â€¯molâ€¯Lâˆ’ 1, S/L ratio of 50â€¯gâ€¯Lâˆ’ 1, d-glucose dosage of 0.75, 90â€¯min","Co, Li, Mn, Ni",90,Cobalt (Co)|Lithium (Li)|Manganese (Mn)|Nickel (Ni),96.7|98.4|97.6|98.3,leaching efficiency,Co,96.70%,Li,98.40%,Mn,97.60%,Ni,98.30%,,,66.95133,73904.41333
35,10.1016/j.cscee.2024.100844,Recycling of nickel metal from spent nickel-manganese-cobalt (NMC) cathode batteries using H3PO4â€“H2C2O4 solution combination as an efficient leaching agent,"Nickel-manganese-cobalt (NMC) is a type of cathode material widely used in lithium-ion batteries (LiBs). It performs well on high energy density and thermal stability, but after several charged-discharged cycles, its capacity significantly degrades and becomes waste. Leaching methods with strong inorganic acids are widely used to prevent the release of valuable metals into the environment. Still, these methods must be effectively achieved regarding the low selectivity of specific metals and environmental emissions. This study presents a selective leaching treatment for Ni metals extraction with the organic acid combination of H3PO4â€“H2C2O4 as a leaching agent. The research started with preparation, including discharge, dismantling, calcination steps, leaching, and precipitation. Ni, Mn, and Co leaching efficiency can reach up to 99.90 %, 3.29 %, and 43.65 %, respectively. The leaching experiment shows that a combination system contributes to obtaining excellent selectivity towards Ni metals compared to the others. The optimum conditions for selectively recovering Ni metals were an H3PO4â€“H2C2O4 volume ratio of 8:2 and a liquid-solid ratio of 25 mL/g, leaching at 60 Â°C for 1.5 h. The thermodynamics and kinetics of the leaching reactions were analyzed to determine the feasibility of leaching three metals. Leachate, which is Ni-saturated from cathode powder, was added with Cyanex272 to facilitate the precipitation of Ni3(PO4)2 with a yield of up to 40 %. This study presents a potential ""waste-to-wealth"" approach to lead the efficient and environmental recycling of spent NMC cathode LIBs.",Lithium-ion batteries (LIBs),leaching methods with strong inorganic acids,"60 Â°C for 1.5 h, an H3PO4â€“H2C2O4 volume ratio of 8:2 and a liquid-solid ratio of 25 mL/g",Ni3(PO4)2,60,Nickel (Ni)|Manganese (Mn)|Cobalt (Co),99.9|3.29|43.65,leaching efficiency,Ni,99.90%,Mn,3.29%,Co,43.65%,,,,,775.07044,10284.384
15,10.1016/S1003-6326(22)66133-8,Leaching kinetics of de-lithium residue from spent ternary lithium-ion battery cathodic materials with starch as reductant,"Starch was employed as a reductant for the recovery of Ni, Co, and Mn from ternary lithium-ion batteries (LIBs) cathodic materials de-lithium residue, and the leaching kinetics and mechanism were studied. The effects of stirring speed, leaching temperature, H2SO4 concentration, and starch dosage on leaching efficiencies of Ni, Co, and Mn from de-lithium residue were systematically investigated. Optimized conditions (1.5 mol/L H2SO4, 6 g/L starch, stirring speed of 500 r/min, 80 Â°C and 60 min) yielded leaching efficiencies of 98.07%, 96.52%, and 98.06 %, for Ni, Co, and Mn, respectively. Apparent activation energies, described by the chemically controlled unreacted shrinking core model, were 93.32, 102.84, and 95.68 kJ/mol, for Ni, Co, and Mn, and their apparent reaction orders in H2SO4 were 0.9225, 1.0335, and 1.1285, respectively. Starch is abundant, affordable, and exceptionally alternative to conventional reductants for the recovery of valuable metals from spent ternary LIBs.",Lithium-ion batteries (LIBs),"extraction system composed of 0.4 mol/L 2-thenoyltrifluoroacetone (HTTA), 0.4 mol/L trioctylphosphine oxide (TOPO), and ionic liquid (IL) 1-Butyl-3-MethylImidazolium bis (trifluoromethyl sulfonyl) imide","O/A = 1/1, 25 °C, reaction time 20 min, and pH = 3.65",LiNi1/3Co1/3Mn1/3O2,25,Nickel (Ni)|Cobalt (Co)|Manganese (Mn),98.07|96.52|98.06,leaching efficiency,Ni,98.07%,Co,96.52%,Mn,98.06%,,,,,57.09456,2168.0088
69,10.1016/j.scp.2024.101694,An effective tandem leaching method for recovering precious metals from depleted ternary lithium-ion batteries,"The increasing volume of spent ternary lithium batteries necessitates the development of an environmentally friendly and efficient recycling process tailored for these batteries. This paper introduces an innovative leaching system that employs oxalic acid and its derivative, Deep Eutectic Solvents (DES), as leaching agents, specifically designed to selectively recover Li and other valuable metals from the cathode materials of discarded ternary lithium batteries, Li(NixCoyMn1-x-y)O2 (NCM). These findings indicate that oxalic acid is capable of selectively leaching Li without the need for reducing agents, whereas DES effectively segregates and leaches other valuable metals. The optimal parameters determined through orthogonal experiments for the initial leaching stage included a solid-to-liquid ratio of 15 g Lâˆ’1, leaching duration of 3 h, temperature of 75 Â°C, and stirring speed of 400 rpm, resulting in a Li leaching rate of 99.95%. In the subsequent step, DES enabled the precipitation of Ni and the leaching of Co and Mn within 2 h at 110 Â°C, achieving recovery rate of 99.88% for Ni, 98.1% for Co, and 90% for Mn, while also significantly optimizing the recovery conditions. This breakthrough may offer an environmentally benign and effective method for the selective recovery of Li and other valuable metals.",Lithium-ion batteries (LIBs),roasting-leaching process,"1200 Â°C, 200 Â°C, 15 min, 100 Â°C, 200 rpm","lithium, cobalt, nickel, and manganese",110,Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.88|98.1|90,recovery rate,Ni,99.88%,Co,98.10%,Mn,90%,,,,,29.2352,38861.1936
93,10.1016/j.jenvman.2024.120729,High-efficiency recovery of valuable metals from spent lithium-ion batteries: Optimization of SO2 pressure leaching and selective extraction of trace impurities,"The recovery of valuable metals from spent lithium-ion batteries (LIBs) is crucial for environmental protection and resource optimization. In the traditional recovery process of spent LIBs, the leaching of high-valence metals has the problems of high cost and limited reagent utilization, and some valuable metals are lost in the subsequent purification process of the leaching solution. To reduce the cost of reagents, this study proposes the use of low-cost SO2 as a reagent combined with pressure leaching to efficiently recover high-valence metals from delithiated materials of spent LIBs, while selective solvent extraction is used to remove trace impurities in the leaching solution to avoid the loss of valuable metals. Experimental results demonstrated that by optimizing the conditions to 0.25 MPa SO2 partial pressure and 60 min reaction time at 70 Â°C, the leaching efficiencies for Ni, Co, and Mn reached 99.6%, 99.3%, and 99.6%, respectively. The kinetic study indicated that the leaching process was diffusion-controlled. Furthermore, the delithiated materials were used to completely utilize the residual SO2 in the solution to obtain a high concentration Niâ€“Coâ€“Mn rich solution. Subsequently, Fe and Al impurities were deeply removed through a synergistic extraction of Di-2-ethylhexyl phosphoric acid (D2EHPA) and tributyl phosphate (TBP) without loss of valuable metals, achieving a high-purity Niâ€“Coâ€“Mn solution. The process developed based on this work has the characteristics of environmental friendliness, high valuable metal recovery, and high product purity, providing a reference technical method for the synergistic treatment of waste SO2 flue gas with spent LIBs and the deep purification of impurities in spent LIBs.",Lithium-ion batteries (LIBs),"leaching of high-valence metals, low-cost SO2 as a reagent combined with pressure leaching, selective solvent extraction","0.25 MPa SO2 partial pressure, 60 min reaction time at 70 Â°C",Niâ€“Coâ€“Mn rich solution,70,Nickel (Ni)|Cobalt (Co)|Manganese (Mn),99.6|99.3|99.6,leaching efficiency,Ni,99.60%,Co,99.30%,Mn,99.60%,,,,,11.5536,22125.84
140,10.1016/j.resconrec.2022.106579,Recycling cathode material LiCo1/3Ni1/3Mn1/3O2 by leaching with a deep eutectic solvent and metal recovery with antisolvent crystallization,"Deep eutectic solvents (DESs) have been proposed as green alternatives for recycling lithium-ion battery (LIB) cathode materials. In the present work, a sustainable DES based on choline chloride and L-(+)-tartaric acid has been systematically investigated for leaching of a LIB cathode material (LiCo1/3Ni1/3Mn1/3O2) for the first time. Moreover, in a novel approach, antisolvent crystallization has been applied to recover metals from the DES leachate. The L-(+)-tartaric acid-based DES shows a good leaching capacity and a high leaching rate at 70 Â°C. Furthermore, antisolvent crystallization is shown to enable a high metal recovery efficiency of cobalt, nickel and manganese (>98.5%). The precipitate from antisolvent crystallization can be used as a precursor for the synthesis of new cathode material, while the remaining DES and antisolvent can be recovered for reuse in the process. This work presents a green, effective and closed-loop metal recovery strategy for recycling LIB cathode materials using a sustainable DES.",Lithium-ion batteries (LIBs),chemical leaching,"1.5 M H2SO4, 100 Â°C, 60 min","lithium, copper, nickel, cobalt, manganese",100,Cobalt (Co)|Nickel (Ni)|Manganese (Mn),98.5|98.5|98.5,recovery efficiency,Co,98.50%,Ni,98.50%,Mn,98.50%,,,,,28.566,35050.24
57,10.1016/j.hydromet.2024.106331,Recovery of valuable metals from manganese purification sludge (SPS) containing Mn-Ni-Co sulfide and preparation of battery-grade Ni-Co-Mn sulfate solution,"The manganese production industry produces a large amount of sulfide purification sludge (SPS) every year, representing a hazardous solid waste but also a valuable secondary resource for Ni, Co, and Mn. In this paper, the recovery of Ni, Co, and Mn from the SPS was achieved by (i) leaching with a solution of hydrogen peroxide, (ii) selectively extracting nickel, cobalt and manganese, (iii) solvent extraction for zinc removal, and finally obtained the battery-grade Ni-Co-Mn sulfate solution. During the hydrogen peroxide solution leaching stage, the leaching efficiency of Co, Mn, and Ni reached 98.5%, 98.6%, and 95.6%, respectively. A synergistic extraction system (SES) consisting of decyl 4-picolinate and dinonylnaphthalene sulfonic acid was used to selectively extract Ni, Co, and part of Mn, and the extraction of Ni and Co was >99.8% and 95.5%, respectively. The loaded organic was subjected to four-stage countercurrent scrubbing using a 5 g/L H2SO4 solution, resulting in nearly 100% removal of Ca and Mg. After that, 150 g/L H2SO4 was used to strip Ni, Co, and Mn from the loaded organic to obtain a crude Ni-Co-Mn sulfate solution. Finally, D2EHPA was utilized for the extraction of impurity Zn from the stripping solution to obtain a battery-grade Ni-Co-Mn sulfate solution with <5 Ã— 10âˆ’4 g/L of Zn. Compared to traditional technology, the novel process not only enables the recovery of valuable Ni, Co, and Mn in SPS but also facilitates their direct preparation into battery-grade nickelâ€‘cobaltâ€‘manganese sulfate solution, which has the advantages of a short process and high added value.",Lithium-ion batteries (LIBs),pyrolysis process,"temperature of 700 Â°C, pyrolysis time of 2 h, volatile matter content of 10.46 %, solid residue content of 34.24 %, acid leach solution pH of 1.2, leaching efficiency of 99.95 %, recovered Li and Co, and Cu, and Mn","Li and Co, and Mn",700,Cobalt (Co)|Manganese (Mn)|Nickel (Ni),98.5|98.6|95.6,leaching efficiency,Co,98.50%,Mn,98.60%,Ni,95.60%,,,,,44.6536,294426.944
32,10.1016/j.seppur.2023.125508,Regeneration behavior of FePO4Â·2H2O from spent LiFePO4 under extremely acidic condition (pH < 0.8): Mechanism study and the properties of regenerated LiFePO4,"With the large-scale application of LiFePO4 batteries in electric vehicles and energy storage, the recycling of spent LiFePO4 cathode materials is receiving increasing attention. Hydrometallurgical derived full-component separation strategy has been verified as the most capable recycling process for LiFePO4 cathode. During which, complete elements (i.e., Li, Fe and P) are dissolved into a solution of excessive acidic leachate, and subsequently separated to obtain battery-grade FePO4Â·2H2O and lithium salt, enabling high element recovery rates of up to 100 %. However, the use of excessive leaching agent leads to high acidity of the leaching solution (pH < 0.8), which brings a necessary of pH regulation prior to the regeneration of FePO4Â·2H2O, markedly complicating the succedent separation and purification. In this investigation, a practical method for directly regenerating FePO4Â·2H2O from H2SO4-based full-component leaching solution is proposed. In this process, H2SO4 as leaching agent is used to digest LiFePO4 completely, and then Fe and P are premeditatedly recovered from the extremely acidic filtrate (pH < 0.8) as FePO4Â·2H2O via direct precipitation without any pH regulator. Consequently, there are no extra impurities affecting the recovery of Fe and P during regeneration. The regeneration behavior of FePO4Â·2H2O under extremely acidic condition are investigated and the growth mechanism is also clarified by monitoring the overall microstructure and phase evolutions. The results demonstrate that the above regeneration is found to be an exponential growth process driven by the quantity of nucleation site, and meanwhile influenced by the dissolution-reprecipitation equilibrium of amorphous iron phosphate. Specifically, the process can be accelerated by introducing FePO4Â·2H2O or amorphous iron phosphate to increase the nucleation sites. Additionally, the primary nanosheet size of regenerated FePO4Â·2H2O causes a smaller primary particle size of the corresponding LiFePO4/C material, contributing to its better physical and electrochemical properties. This work provides a guidance for the direct regeneration of FePO4Â·2H2O from excessive acidic leachate and has potential industrial applications.",Lithium-ion batteries (LIBs),pyrolysis-based process,"pyrolysis temperature: 450 Â°C, pyrolysis time: 2 h, pulp density: 15 g/L, pulp particle size: 200â€“400 Î¼m, pulp moisture content: 30%",graphite,450,Lithium (Li)|Iron (Fe)|Phosphorus (P),100|100|100,recovery rate,Li,100%,Fe,100%,P,100%,,,,,0,1820190
