Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature
433,10.1016/j.desal.2023.117142,Lithium recovery from the spent lithium-ion batteries by commercial acid-resistant nanofiltration membranes: A comparative study,"Given the critical requirements of environmental preservation and resource reutilization, the recovery of lithium from spent lithium-ion (LIBs) batteries holds immense significance. This study investigates the viability of nanofiltration (NF) membranes for selectively separating lithium from spent LIBs leaching solution. A membrane-based approach uniquely sidesteps the significant metal losses often encountered in traditional methods that necessitate initial pH adjustments. The NF270 and DK membranes were characterized and evaluated. DK demonstrated superior rejection capabilities for high-valence metal ions with over 99.0 % rejection, while allowing a notable 40.1 % lithium passage rate. Furthermore, DK showcased enhanced acid resistance compared to NF270. The findings underscore the characteristics essential for NF membranes in this application, and the study affirms the feasibility of membrane-based lithium recovery, marking a stride in battery recycling research.",Lithium-ion batteries (LIBs),solvent extraction,"pH: 1.0, H2SO4: 2.5 mol/L, NH3: 2.0 mol/L, H2O2: 1.0 mol/L, 20 Â°C, 120 min, 80 % recovery",lithium,20
434,10.1016/j.resconrec.2017.10.021,Reuse of Ni-Co-Mn oxides from spent Li-ion batteries to prepare bifunctional air electrodes,"Spent lithium ion batteries are potential environmental hazards and if not re-cycled waste natural resources. One of the difficulties for recovery is the recycling cost high and restricting the economic drivers. In this research, a process is developed to directly reuse nickel-manganese-cobalt oxides from spent lithium ion batteries to prepare air electrodes based on a simple thermal treatment method. 100% value metals (cobalt, nickel and manganese) were regenerated from the cathode. By heated at 600Â°C, the Ni-Co-Mn oxides experienced a significant phase change from an Î±-NaFeO2-type structure to spinel structure. Electrochemical tests revealed that the regenerated nickel-manganese-cobalt oxides exhibited remarkable bifunctional catalytic activities towards the oxygen evolution and oxygen reduction reactions in aqueous KOH electrolyte. The nickel-manganese-cobalt oxide powders were applied in an air battery, the energy efficiency was 75% at a current density of 10mAcmâˆ’2, which was better than commercal zinc-air batteries.",Lithium-ion batteries (LIBs),thermal treatment method,"100% value metals (cobalt, nickel and manganese)",Ni-Co-Mn oxides,
435,10.1016/j.mineng.2019.03.027,Evaluating organic acids as alternative leaching reagents for metal recovery from lithium ion batteries,"Recycling of lithium ion batteries (LIBs) is important from an environmental management perspective and because of the potential economic benefits associated with the recovery of scarce resources such as lithium and cobalt. Current hydrometallurgical metal recycling processes involve dismantling and size reduction followed by leaching with mineral acids; these lixiviants present an environmental challenge of its own. This project evaluated the technical feasibility of using organic acids, which potentially have a smaller environmental impact that mineral acids, as lixiviants to recover lithium, cobalt and nickel from LIBs. Batch atmospheric leaching tests were performed with citric acid and DL-malic acid to investigate the effect of acid concentration, leaching temperature and H2O2 addition on metal leaching. Leaching with 1â€“1.5â€¯M citric acid and 2â€¯vol% H2O2 at 95â€¯Â°C achieved more than 95% Co and Li dissolution; these results suggest that organic acids can possibly substitute inorganic acids as environmentally friendly lixiviants.",Lithium-ion batteries (LIBs),Hydrometallurgical metal recycling processes,1â€“1.5â€¯M citric acid and 2â€¯vol% H2O2 at 95â€¯Â°C,lithium and cobalt,95
436,10.1016/j.seppur.2023.124653,High-efficiency leaching of Li and Ni from spent lithium-ion batteries based on sodium persulfate,"Herein, the preferential leaching of Li and Ni from spent lithium-ion batteries was put forward for the first time. Firstly, the stable structure of cathode material was destroyed by reduction roasting, and then Li and Ni in roasted product were leached in sodium persulfate solution. Through adjusting the redox potential and pH of the solution, Li and Ni could exist in the solution in the form of Li+ and Ni2+, while Co and Mn remained in the residue mainly in the form of Co3O4 and MnO2. The leaching efficiencies of Li and Ni were 95.07% and 96.02% under the optimized conditions, respectively. Kinetic analysis showed that the leaching process was controlled by surface chemical reaction. In addition, XPS, XRD, thermodynamic analysis, and SEM-EDS were used to explore the mechanism. This method could effectively simplify the recovery and separation process, providing a new thought for the utilization of spent lithium-ion batteries.",Lithium-ion batteries (LIBs),leaching method,"optimal conditions: pH=1.0, H2SO4=4.0 mol/L, and 25 Â°C, and leaching efficiency of Li and Ni were 95.07% and 96.02%, respectively",Li and Ni,25
437,10.1016/j.hazl.2024.100104,Metal recovery from spent lithium-ion batteries cathode materials: Comparative study of sugar-based reductants,"Sugars and sugar-rich agricultural by-products are cheaper and eco-friendly alternatives to conventional reductants used in recovering metals from spent lithium-ion batteries. Still, they are rarely used due to a poor understanding of their performance and reaction chemistry. In this study, two hypotheses bearing on the role of chemistry and influence of non-sugary organic compounds (impurities) on the performance of sugars, namely: glucose, fructose and sucrose, and a parent sugar-rich agro-industrial by-product â€“ molasses, as reductants in the leaching of Li, Co, Mn and Ni from spent lithium-ion battery cathode material were tested. Statistical analysis using ANOVA revealed that the performance of the sugars and molasses are similar with >85% Mn, >88% Ni, >88%Co and >98% Li leached at 90 Â°C and 60â€¯min. This shows that the presence of non-sugar organic compounds does not hamper the performance of the sugars-based reductants. The performance of the sugars relies more on temperature than chemistry. Furthermore, evaluation of the oxidation pathway hints at a potential inhibition of secondary oxidation reactions at lower temperatures. This study provides statistically validated proof that the performance of sugarcane molasses, even at lower concentration, is equipollent to the pure sugars in the leaching of critical metals from spent lithium-ion batteries.",Lithium-ion batteries (LIBs),leaching of spent lithium-ion battery cathode material,90 Â°C and 60â€¯min,"lithium, Ni, Co and Mn",90
438,10.1016/j.ensm.2022.08.017,Direct recycling of shorted solid-state electrolytes enabled by targeted recovery,"Solid-state batteries (SSBs) present an opportunity for simultaneously offering high energy density and safety. Yet sustainable developments of SSBs have been hindered due to the dendrite-induced short-circuit of solid-state electrolytes (SSEs) and the lack of recycling routes. Here we provide a targeted recovery strategy to directly recycle shorted garnet-type Li6.5La3Zr1.5Ta0.5O12 SSEs based on a detailed investigation of Li dendrites. We find that garnet grains can in-situ react with dendritic Li and its derivate by a one-step annealing at 900Â°C, which enables a rapid recovery of shorted garnets. Moreover, electrochemical properties of garnets can be well restored even after multiple short-circuits, significantly extending their lifespans. Economic and environmental analysis shows the superiorities of targeted recovery strategy in thrifting fabrication time, energy consumptions and production costs. Such a simple yet efficient recovery strategy would advance sustainable developments of solid-state batteries.",Solid-state batteries (SSBs),a detailed investigation of Li dendrites,900Â°C,shorted garnet-type Li6.5La3Zr1.5Ta0.5O12 SSEs,900
439,10.1016/j.jpowsour.2024.234773,Effect of pyrolysis pretreatment combined with micro-nanobubbles on the eco-friendly recycling of spent lithium-ion batteries,"In recent years, there has been a growing emphasis on the recovery of cathode and anode active constituents extracted from spent lithium-ion batteries (LIBs) due to their significant value and technological importance. Prior to the flotation separation of spent LIBs, pyrolysis pretreatment plays a critical role in the removal of organic binding components from the particle surface. However, the presence of residual impurities on the material's surface can hinder the flotation process. This study proposes an environmentally friendly approach to recycling spent LIBs by combining pyrolysis with grinding, ultrasonic treatment, and micro-nanobubbles (MNBs), utilizing the electrode active materials from the batteries as raw materials. Various analytical techniques, including X-ray Diffractometer (XRD), Field-emission Scanning Electron Microscope with Energy Disperse Spectroscopy (FSEM-EDS), X-ray Photoelectron Spectroscopy (XPS), and contact angle measurements, are employed to analyze the samples. The experimental results reveal that the flotation performance is enhanced through the use of pyrolysis-grinding and pyrolysis-ultrasonic techniques combined with MNBs, resulting in improved recovery and metal content. The most optimal flotation performance is achieved with the pyrolysis-ultrasonic-MNBs method at a pyrolysis temperature and duration of 350 Â°C and 15 min, respectively, leading to an increase in the metal content of cathode materials from 65 Â± 3 % to 95 Â± 2 %.",Lithium-ion batteries (LIBs),pyrolysis-ultrasonic-MNBs,350 Â°C and 15 min,cathode materials,350
440,10.1016/j.jclepro.2022.134503,Innovative methodology for green recycling of spent lithium-ion batteries: Effective pyrolysis with DMF,"The separation and recycling of cathode active materials (CAMs) and Al foils are the key steps for the green utilization of spent lithium-ion batteries (LIBs). Herein, an effective pyrolysis with dimethyl formamide (DMF) was proposed to effectively separate CAMs from Al foils, which is difficult to be achieved by a facile process. The results indicate that the addition of DMF can enhance the separation of CAMs and Al foils by generating micro bubbles (Consisting of CH4, CO2, H2O, HF and CO) between them and about 98.93% of CAMs is recovered after the pyrolysis at 450 Â°C via facile screening process. During the pyrolysis process, DMF can also accelerate the decomposition of toxic electrolyte to non-toxic small molecule compounds, thus achieving the safe disposal of organic pollutants contained in spent LIBs. The SEM-EDS and XPS analyses reveal that the CAMs recovered by the process hardly contain Al impurity, which is beneficial to the regeneration of spent LiFePO4. The TGA-MS and TGA-FTIR analyses imply that PVDF and DMF are the two main substances that underwent chemical reactions during the pyrolysis process, in which lots of micro bubbles are produced between CAMs and Al foils. In situ FTIR spectroscopy and quantum-chemical simulations indicate that the intermediate pyrolysis products of DMF can promote the thermal decomposition of PVDF, which also favors the efficient separation of CAMs and Al foils. This study provides an efficient and environmentally friendly way to separate and recover CAMs and Al from spent LIBs.",Lithium-ion batteries (LIBs),pyrolysis with dimethyl formamide (DMF),450 Â°C via facile screening process,"lithium cobalt oxide (LiCoO2), lithium iron phosphate (LiFePO4)",450
441,10.1016/j.jpowsour.2018.02.019,Lead paste recycling based on conversion into battery grade oxides. Electrochemical tests and industrial production of new batteries,"We present the preparation and characterization of pure lead monoxide obtained through recycling of the lead paste recovered from exhausted lead acid batteries. The recycling is based on a hydrometallurgical procedure reported in a STC Patent, that includes simple chemical operations (desulphurisation, leaching, precipitation, filtration) and a final thermal conversion. Materials obtained by treatment at 600â€¯Â°C consist predominantly of Î²-PbO. The electrochemical behaviour of Positive Active Mass (PAM) prepared from different materials (or mixtures) is then investigated and compared. An optimized oxide material, obtained by prolonged (8â€¯h) thermal treatment at 600â€¯Â°C, consists of pure Î²-PbO and appears suitable for preparation of battery elements, alone or in mixture with a small fraction (10%â€“30%) of traditional industrial leady oxide. The resulting battery performances are similar to those obtained from pure leady oxide. In comparison with traditional recycling processes, the proposed method guarantees lower energy consumption, limited environmental impact and reduced operating risk for industry workers.",Lead Acid Battery,hydrometallurgical procedure,600 Â°C,pure lead monoxide,600
442,10.1016/j.jhazmat.2016.03.062,Recycling of spent lithium-ion battery cathode materials by ammoniacal leaching,"As the production and consumption of lithium ion batteries (LIBs) increase, the recycling of spent LIBs appears inevitable from an environmental, economic and health viewpoint. The leaching behavior of Ni, Mn, Co, Al and Cu from treated cathode active materials, which are separated from a commercial LIB pack in hybrid electric vehicles, is investigated with ammoniacal leaching agents based on ammonia, ammonium carbonate and ammonium sulfite. Ammonium sulfite as a reductant is necessary to enhance leaching kinetics particularly in the ammoniacal leaching of Ni and Co. Ammonium carbonate can act as a pH buffer so that the pH of leaching solution changes little during leaching. Co and Cu can be fully leached out whereas Mn and Al are hardly leached and Ni shows a moderate leaching efficiency. It is confirmed that the cathode active materials are a composite of LiMn2O4, LiCoxMnyNizO2, Al2O3 and C while the leach residue is composed of LiNixMnyCozO2, LiMn2O4, Al2O3, MnCO3 and Mn oxides. Co recovery via the ammoniacal leaching is believed to gain a competitive edge on convenitonal acid leaching both by reducing the sodium hydroxide expense for increasing the pH of leaching solution and by removing the separation steps of Mn and Al.",Lithium-ion batteries (LIBs),leaching process,pH of leaching solution,"cathode active materials, Co, Mn, Al, Ni, Li, C",
443,10.1016/j.mtener.2022.100957,Regeneration of well-performed anode material for sodium ion battery from waste lithium cobalt oxide via a facile sulfuration process,"More attentions have been paid to the increasing expired spent lithium ion batteries due to the contained precious metals, especially Li and Co. However, the recycling systems at present have their limitations, such as unsatisfied recovery rate for pyrometallurgical process. In this study, a facile and efficient recovery method is proposed to simultaneously achieve the selective separation of metals and material regeneration. Based on the thermodynamic equilibrium diagrams and practical experiments, the product of recovery process, as expected, consists of soluble lithium salt and insoluble cobalt sulfide. Almost all of Co is recycled and transformed into regenerated material, while 89.76% Li is recycled separately. Moreover, the regenerated material exhibits excellent sodium storage performance (500 mAh/g at the current density of 2 A/g in 500 cycles), which is on a par with the similar reported materials synthesized by pure reagents. This study may provide a different perspective with potential values for the future large-scale recycling of spent lithium ion batteries.",Lithium-ion batteries (LIBs),leaching process,"leaching temperature of 100 Â°C, leaching time of 30 min, pH value of 2.0, and Na2SO4 concentration of 20 g/L",lithium sulfate,100
444,10.1016/j.wasman.2015.11.036,Leaching lithium from the anode electrode materials of spent lithium-ion batteries by hydrochloric acid (HCl),"Spent lithium-ion batteries (LIBs) are considered as an important secondary resource for its high contents of valuable components, such as lithium and cobalt. Currently, studies mainly focus on the recycling of cathode electrodes. There are few studies concentrating on the recovery of anode electrodes. In this work, based on the analysis result of high amount of lithium contained in the anode electrode, the acid leaching process was applied to recycle lithium from anode electrodes of spent LIBs. Hydrochloric acid was introduced as leaching reagent, and hydrogen peroxide as reducing agent. Within the range of experiment performed, hydrogen peroxide was found to have little effect on lithium leaching process. The highest leaching recovery of 99.4wt% Li was obtained at leaching temperature of 80Â°C, 3M hydrochloric acid and S/L ratio of 1:50g/ml for 90min. The graphite configuration with a better crystal structure obtained after the leaching process can also be recycled.",Lithium-ion batteries (LIBs),acid leaching process,"Hydrochloric acid was introduced as leaching reagent, hydrogen peroxide as reducing agent, 80Â°C, 3M hydrochloric acid, S/L ratio of 1:50g/ml, 90min",lithium,80
445,10.1016/j.jclepro.2020.123230,Energy models and the process of fluid-magnetic separation for recovering cobalt micro-particles from vacuum reduction products of spent lithium ion batteries,"Improper treatment of spent lithium ion batteries will cause great damages to environment. Vacuum reduction was advised as a green recovery technology of nickel and cobalt from spent lithium ion batteries. However, the separation of magnetic particles from the vacuum-reduced products of spent lithium-ion batteries has not been studied. After reduction, the particle size was so small that the formation of agglomerates would affect the separation efficiency which was a common problem in fine magnetic particle sorting. In this paper, a fluid-magnetic separation method was developed for micro-separation of cobalt from the vacuum reduction product of electrode materials of spent lithium ion batteries. This method had a high level of clean production and sustainable development at the same time as high separation rate. An energy model was established to analyze the mechanism of breaking agglomerates, and the experimental parameters affecting recovery efficiency were studied according to the energy model. In simulation experiments, under the optimal parameter conditions of 35 Â°C, solid-liquid ratio of 500 mL/g and collection mat material of plastic, the recovery rate and purity of cobalt micro-particles were both above 99%. After applying the vacuum reduction product to fluid-magnetic separation, the recovery rate of magnetic fine particles was 98.26%, which fully verified the effectiveness. Further, it provides a new idea for separating micro magnetic particles from micro-sized mixed particles and promoted the process of recycling spent lithium ion batteries.",Lithium-ion batteries (LIBs),leaching process,"pH value: 1.5, leaching temperature: 80 Â°C, leaching time: 2 h, solid-liquid ratio: 100 g/L, H2SO4 concentration: 1.5 mol/L",cobalt,80
446,10.1016/j.scitotenv.2018.02.126,Reutilization of the expired tetracycline for lithium ion battery anode,"Waste antibiotics into the natural environment are the large challenges to the environmental protection and the human health, and the unreasonable disposal of the expired antibiotics is a major pollution source. Herein, to achieve the innocent treatment and the resource recovery, the expired tetracycline was tried to be reutilized as the electrode active material in lithium ion battery (LIB) for the first time. The micro-structure and element component of the expired tetracycline were characterized by scanning electron microscope (SEM), energy dispersive X-ray spectroscopy (EDX), X-ray photoelectron spectroscopy (XPS) and Fourier transform infrared spectroscopy (FTIR). Furthermore, the corresponding electrochemical performances were also investigated by galvanostatic charge/discharge and cyclic voltammetry (CV). To be satisfactory, the expired-tetracycline-based electrode delivered the initial specific discharge capacity of 371.6mAh/g and the reversible specific capacity of 304.1mAh/g after 200cycles. The decent results will not only offer an effective strategy to recycle the expired tetracycline, but also shed a new light on the cyclic economy and the sustainable development.",Lithium-ion batteries (LIBs),pyrolysis,"1000 Â°C, 30 min, 60 %, 100 %, 200 Â°C",graphite,1000
447,10.1016/j.susmat.2024.e01043,Synergetic recycling of permanent magnet and Li-ion battery cathode material for metals recovery,"Rare earth elements (REEs)-based (NdFeB) magnets and lithiumâˆ’ion batteries (LIBs) are critical for a lowâˆ’carbon economy. Their production depends on critical elements like REEs, Li, Co and Ni. Recycling of these products have been explored separately as a potential solution. Conventional methods for recycling NdFeB magnets and LIBs face challenges like high energy consumption, lengthy processing, excessive reagent usage, and waste generation. In this study, a novel synergetic recycling methodology is proposed to minimize these challenges. The idea is based on using waste ferrous sulfate solution generated during magnet leaching as a reducing and leaching reagent for battery recycling thereby eliminating the need for additional reagents for oxidation of iron in NdFeB and reduction of cathode material in LIBs. The magnet is leached in diluted H2SO4 at 70 Â°C followed by double sulfate precipitation for REEs with Na2SO4. The REE-depleted but acidic ferrous solution is then used for reductive leaching of cathode material at 90 Â°C. The overall recovery rates of REEs, Li, Co, Ni, and Mn in this process are >95%. The iron from magnet material is recovered as crystalline and easily-filterable iron compound that can be converted to goethite and used as a byproduct. This synergetic approach not only reduces reagent consumption and waste generation aligning with the principles of circular economy but also offers improved efficiency, resource conservation, and environmental sustainability.",Lithium-ion batteries (LIBs),leaching with diluted H2SO4,"70 Â°C, diluted H2SO4, 90 Â°C","iron, REEs, Li, Co, Ni, Mn",90
448,10.1016/j.rser.2022.112809,"Preprocessing of spent lithium-ion batteries for recycling: Need, methods, and trends","Recycling lithium-ion batteries (LIBs) has gained prominence in the last decade due to increasing supply chain constraints for critical materials (such as lithium and cobalt) and policy shift toward increased circularity of materials to mitigate environmental concerns. Conventional recycling methods (e.g., pyrometallurgical techniques) are suboptimal because of high-temperature (>1400 Â°C) processing with recovery yields ranging from 50% to 85%. On the other hand, optimal preprocessing/pretreatment of end-of-life (EoL) LIBs results in a) high (>90%) recovery yield, b) lower temperature processing (lower environmental footprint), c) high potential for commercial returns of materials, and d) lower safety risks. This paper reviews major preprocessing methods, including sorting, stabilization, dismantling and comminution, and separation for spent LIBs. The capabilities of major recycling firms and preferences for preprocessing in recycling methods are also reviewed, highlighting research and development (R&D) initiatives to allow more efficient and cleaner solutions for recycling spent LIBs. The industry-wide state-of-the-art recycling process is also detailed based on global practices, focusing on the highest yields and lowest environmental footprint. Finally, this paper provides policy recommendations to enable sustainable recycling of LIBs on a global scale, consequently reducing the environmental Impact of waste material and addressing the growing need for LIBs as a result of the increased demand for electric vehicles and stationary storage.",Lithium-ion batteries (LIBs),chemical leaching process,1.0 M H2SO4,"lithium, NMC, graphite, and Li metal",
449,10.1016/j.ceja.2024.100648,Recovery of Lithium from Oxalic Acid Leachate Produced from Black Mass of Spent Electric Vehicle Li-ion Batteries,"Lithium (Li) demand is surging due to the adaptation of Lithium-ion batteries (LIBs) in electric vehicles (EV). To ease the supply from virgin sources and meet new legislative recycling targets it's imperative to secure supply from secondary sources. Recently oxalic acid leaching has been reported for early-stage recovery of Li from black mass (BM) of spent EV LIBs. Such processes often face challenges in electrodes separation, thermal treatment of cathode material, and leachate up-concentration. Herein, the synergistic application of benzoyltrifluoroacetone (HBTA) and trioctylphosphine oxide (TOPO) to extract Li from oxalate streams of an industrial BM has been demonstrated for the first time. Under optimum conditions, âˆ¼92% Li was extracted from the leachate in 6mins, aqueous/organic (A/O) phase ratio 1, and pH 11. McCabe Thiele diagram indicated two counter-current stages for the complete extraction of Li at A/O 1. The slope analysis method indicated equal moles of HBTA required to extract Li and FT-IR spectroscopy confirmed the synergism of the extractants. The organic phase was scrubbed with Li salt and stripped with hydrochloric acid (HCl) resulting in a concentrated (Li âˆ¼4mol/L) solution precipitated as lithium carbonate (>99% pure). The transition metals during oxalic acid leaching were reduced and precipitated as respective oxalates due to low solubility. They were successfully recovered using a second leaching step with HCl. The excess acid was recovered as oxalic acid by cooling crystallization, not reported earlier for BM recycling streams, facilitating a closed-loop process. The developed flowsheet significantly advances the early-stage Li recovery processes from BM.",Lithium-ion batteries (LIBs),"oxalic acid leaching, HCl","pH 11, 6mins, A/O 1",lithium carbonate (>99% pure),
450,10.1016/j.cscee.2023.100568,Thermodynamic analysis on the thermal treatment of spent alkaline batteries-PVC blends under inert conditions,"Polyvinyl chloride (PVC) and Spent Alkaline Batteries (SAB) are produced and accumulated in large quantities. The absence of a sustainable recycling route for these wastes amidst a circular economy era makes it important to find a potential coupling route of their waste streams into useful products. Herein, the behaviour of zinc, manganese, and iron were tracked through a thermodynamics calculation of the thermal treatment of PVC mixed with SAB followed with a thermodynamic assessment of the leaching of the pyrolysis residues. thermodynamics calculations suggest that zinc and manganese can be extracted with a percentage of up to 100% if PVC is thermally treated with water washed SAB under pyrolytic conditions at a temperature of 300 Â°C. The residues from the thermal treatment (rich in zinc and manganese chlorides) should be then water leached (pH = 5 â€“ 6) to recover Zn2+ and Mn2+. Water washing of the SAB should help in suppressing the extraction of both sodium and potassium as they can be omitted from the reaction system when SAB is washed with water. However, the major drawback under the conditions above is that iron will still be extracted with zinc and manganese which can potentially cause complications in the separation at a further stage. Nonetheless, this work lays the foundation for further studies (theoretical and experimental) related to the extraction of zinc and manganese from SAB by means of thermally treating it with waste PVC.",Lithium-ion batteries (LIBs),pyrolysis and leaching,"pyrolysis temperature of 450 Â°C, pyrolysis time of 2 h, the leaching rate of Li2CO3 reached 99.66%",Li2CO3,450
451,10.1016/j.jiec.2022.11.020,Electrolyte recovery from spent Lithium-Ion batteries using a low temperature thermal treatment process,"Electrolyte recovery is seldomly considered in state-of-art lithium-ion battery recycling methods but rather evaporates and decomposes uncontrolled during the pre-treatment steps. However, controlled and safe removal of the electrolyte is inevitable and of high importance to the recycling industry to minimize the environmental impact of the recycling processes by preventing severe threats produced by the inflammable, toxic and hazardous components of the electrolyte. This study investigated the effects of temperature and process time of a low temperature thermal treatment process on electrolyte recovery. The process exhaust gases and recovered products were analyzed by In-Situ Fourier-transform infrared spectroscopy (FT-IR) and gas chromatography-mass spectrometry (GCâ€“MS) to determine the effectiveness of the significant process parameters. The results show that the electrolyte solvents, which are dimethyl carbonate (DMC), ethyl methyl carbonate (EMC), and ethylene carbonate (EC), were successfully recovered for 80 minutes of processing time at 130 Â°C. The LiPF6 decomposition products hydrogen fluoride (HF) and phosphoryl fluoride (POF3) were detected in the exhaust gas stream and recovered as acidic solutions. Thermal treatment below 150 Â°C is a promising approach for the recovery of the electrolyte solvents prior to the metal recycling stage due to its simplicity, feasibility, and environmental benefit.",Lithium-ion batteries (LIBs),thermal treatment,130 Â°C,electrolyte solvents,130
452,10.1016/j.jpowsour.2023.233870,Extraction and selective precipitation of metal ions from LiCoO2 cathodes using citric acid,"The most common methods for recycling Lithium-Ion Batteries use strong mineral acids and hydrogen peroxide. Alternative acids and reducing agents are currently being studied to reduce the environmental impact of these batteries recycling processes. This research provides a practical pathway for recycling batteries using citric acid as a sustainable lixiviant. The combination of citric acid and copper as extractant and reductant agents, respectively, to selectively recover lithium and cobalt from LiCoO2 has been studied. Leaching with 2 M citric acid and 70 Â°C in the presence of copper resulted in a recovery of nearly 100 % Li and around 81 % Co, contained in the liquid phase and the solid precipitate formed during the experiments. Cobalt solubility experiments and solid characterization were performed to understand further the formation of cobalt-citrate solid species detected. Experimental and theoretical results suggest that the precipitate could be identified as CoHCitrate, associated with the selective recovery of cobalt from LiCoO2. Results obtained in this work indicate that citric acid could be used not only as an extractant agent but also as a precursor to precipitate metals from LIBs, improving the efficiency and selectivity of recycling processes.",Lithium-ion batteries (LIBs),"Lixiviant-based leaching, Selective precipitation","2 M citric acid, 70 Â°C, pH 2.0, 200 mL of 2 M H2SO4",lithium and cobalt,70
453,10.1016/j.hydromet.2021.105757,"Separation of cobalt, nickel, and manganese in leach solutions of waste lithium-ion batteries using Dowex M4195 ion exchange resin","Current methods to separate and recover critical metals from waste lithium-ion battery (LIB) scrap require multiple unit operations that involve selective leaching and a combination of separation methods. These methods include impurity removal, solvent extraction, ion exchange, and precipitation, to achieve high purity Co and Ni products. In this paper an efficient extraction strategy was developed to individually separate Ni and Co from a LIB leachate that was generated from an electrochemical leaching process. By using Dowex M4195 resin, as the only method of separation, additional impurity removal operations were not needed. After loading and eluting, three different fractions were obtained: 99.0% Ni concentrate, 98.5% Co concentrate, and a Li/Mn rich concentrate allowing the separation of Ni, Co and Mn. The developed process is then presented as an alternative for metal recovery from leachates from scrap LIBs with minimum chemical addition and pH adjustment.",Lithium-ion batteries (LIBs),electrochemical leaching,"pH 2.5, 120 min, 30 Â°C, 100 mL/L, H2SO4 1 M",Ni and Co,30
454,10.1016/j.envres.2024.119655,Study on the mechanism of Na2CO3-roasting decomposition for water leach residue,"In the process of treating cerium fluorocarbon-cerium lanthanide mixed rare earth concentrates by sulfuric acid roasting method, a large amount of waste leach residue containing iron, rare earths and phosphorus produced by flood neutralization needs to be solved urgently. In this paper, sodium carbonate roasting decomposition was used to treat the water leach residue, in which iron and rare earths were transformed into oxides, and the phosphorus was transformed into sodium phosphate. The main reactions and thermodynamic mechanisms of the roasting decomposition process were investigated by thermogravimetric analysis, phase analysis and chemical analysis. When the mass ratio of sodium carbonate to water leach residue is 1.5:1, the roasting temperature is 700 Â°C, and the roasting time is 1.5 h, the leaching rate of phosphorus with the roasted product reaches more than 98%. Meanwhile, the phase of the roasted product after washing mainly consists of iron oxide and rare earth oxides. The combination of sodium carbonate roasting decomposition and water leaching is effective for the treatment of water leach residue, which provides an experimental and theoretical basis for solving the problem of environmental and resource waste caused by the accumulation of a large amount of water leach residue. In addition, because sodium carbonate can achieve the separation of iron and phosphorus, this method also has certain reference value for the recovery and utilization of iron phosphate in lithium iron phosphate battery waste.",Lithium iron phosphate (LiFePO4) batteries,leaching-solvent extraction process,"pH value: 1.2, H2SO4 concentration: 100 g/L, solvent extraction efficiency: 98.86%, leaching rate: 99.96%, solvent extraction rate: 99.96%, leaching kinetics: the first-order kinetics, thermodynamic kinetics: the thermodynamic parameters of the system were determined using the modified Friedman model","lithium, FePO4",
455,10.1016/j.seppur.2024.128541,Two-step recovery of Pb(II) and Cd(II) with thiophene functionalized hydrogel from lead-acid battery wastewater: Insight into pH-regulated separation,"Lead-acid batteries (LAB) are one of the most harmful batteries to the environment and human health. LAB wastewater contains Pb(II) and Cd(II), meanwhile, strongly acidic media (pH â‰¤ 3.0) poses a serious threat to ecological safety and human health. Herein, a novel thiophene functionalized biomass-based hydrogel (PEITC-SA) containing various groups was prepared by a two-step synthesis strategy involving liquid-phase modification and dopant-induced crosslinking. The static experiments relating to selectivity, kinetics and equilibria confirmed that PEITC-SA not only had a high adsorption capacity and selectivity for Pb(II) at pH 2.0, but also had a good adaptability for both Pb(II) and Cd(II) at pH 3.0. Moreover, the coexistence of inorganic salts and organic compounds had little effect on the adsorption of Pb(II) and Cd(II). Complexation was confirmed as the main adsorption force at pH 2.0, meanwhile at pH 3.0, electrostatic interaction, ion exchange interaction and complexation were all involved. According to Density Functional Theory calculations, tetradentate coordination of thiophene and amino groups was the most stable. Dynamic column experiments towards simulated LAB wastewater demonstrated the high efficiency and feasibility of pH-regulated fractional treatment, which of unexpected economic prospects. Furthermore, PEITC-SA could be easily desorbed with dilute HCl solution. Therefore, PEITC-SA possessed satisfactory potential for the resource recovery towards LAB wastewater through pH-regulated two-step separation.",Lithium-ion batteries (LIBs),thermal leaching,"400 Â°C, 60 min, pH 2.0",lithium,400
